dataset,category,balancer,classifier,n_features_selected,balancing_time_sec,accuracy,precision,recall,f1,auc,train_time_sec
ids2018,dl_based,vae_oversample,DNN,28,0.7050764560699463,98.60584910470196,99.76620882561683,93.98277421638416,96.78817334953422,0.9870671221853117,112.76664018630981
ids2018,dl_based,gan_oversample,DT,24,0.8276069164276123,98.05381457617285,95.85918052866569,95.41432335706139,95.63623462630085,0.9719465438433013,28.953688621520996
ids2018,dl_based,gan_oversample,RF,24,0.8276069164276123,98.824729037192,99.6701030927835,95.05643607189208,97.30861364414115,0.9925159452541713,21.070414066314697
ids2018,dl_based,gan_oversample,ET,24,0.8276069164276123,98.4405903604926,97.69711635410366,95.26880874660793,96.46768348532515,0.9835863683306224,11.861470222473145
ids2018,dl_based,gan_oversample,LR,24,0.8276069164276123,96.5111066182611,95.14432382395019,88.92909112360876,91.93177891163377,0.9664585423186746,2.750748872756958
ids2018,dl_based,gan_oversample,XGB,24,0.8276069164276123,98.80539024797602,99.74371693121694,94.89912297950997,97.26112980914569,0.9938327549795275,1.2744684219360352
ids2018,dl_based,gan_oversample,LGBM,24,0.8276069164276123,98.98295549441373,99.9013076733284,95.54410665827663,97.6741381043321,0.9949083665973735,2.0898656845092773
ids2018,dl_based,gan_oversample,DNN,24,0.8276069164276123,98.58651031548598,99.63325692852678,94.02210248947969,96.74638824814859,0.9866143132230877,108.55108785629272
ids2018,dl_hybrid,gan_tomek,DT,24,616.2790381908417,98.40894506904827,97.44084207143145,95.38679356589452,96.40287769784173,0.974151604704002,14.0241219997406
ids2018,dl_hybrid,gan_tomek,RF,24,616.2790381908417,98.83088228830619,99.76868106902391,94.98957800762969,97.3204931904263,0.9913512780311682,13.388221979141235
ids2018,dl_hybrid,gan_tomek,ET,24,616.2790381908417,98.62958307328522,98.69033047735618,95.1311597907736,96.87806636361816,0.982579305820656,8.4461088180542
ids2018,dl_hybrid,gan_tomek,LR,24,616.2790381908417,96.45396928648658,95.20348222964121,88.59873362960631,91.78244041556324,0.964568709138164,2.785487174987793
ids2018,dl_hybrid,gan_tomek,XGB,24,616.2790381908417,98.81242253496364,99.79730288739968,94.87945884296221,97.27626459143968,0.993139031739056,1.74302339553833
ids2018,dl_hybrid,gan_tomek,LGBM,24,616.2790381908417,98.97416513567919,99.88895286666119,95.51657686710978,97.65384692708228,0.994587253745246,1.9714319705963135
ids2018,dl_hybrid,gan_tomek,DNN,24,616.2790381908417,98.5495908088009,99.38930663453948,94.08896055374208,96.66653198109015,0.9858395670795129,114.73401546478271
ids2018,dl_hybrid,vae_smote,DT,19,0.7004854679107666,98.51794551735657,98.56003272652895,94.75360836905652,96.61934552454284,0.9858407758582556,5.727160692214966
ids2018,dl_hybrid,vae_smote,RF,19,0.7004854679107666,98.691115584427,99.39744118860916,94.71821292327054,97.00142980848622,0.9905306060867639,12.828433275222778
ids2018,dl_hybrid,vae_smote,ET,19,0.7004854679107666,98.66122836472957,99.19733267473451,94.77720533291382,96.93690794634058,0.9897162278058239,10.06393575668335
ids2018,dl_hybrid,vae_smote,LR,19,0.7004854679107666,93.28240785506456,91.54403176827844,77.06375113068785,83.68209771096686,0.9579960726738581,2.744598627090454
ids2018,dl_hybrid,vae_smote,XGB,19,0.7004854679107666,98.67705101045173,99.68843469591226,94.37605694733944,96.95953453605122,0.9908564935036193,1.515172004699707
